Time(s) Delta Theta Alpha Beta
1.340000000000000000e+02 2.605509684647871159e-03 1.673328193486443198e-03 6.369038160463970930e-04 2.225941435235566769e-04
1.345000000000000000e+02 2.256029641704102289e-03 1.369322050444155871e-03 6.858728551471334660e-04 2.369856102355935243e-04
1.350000000000000000e+02 2.852955539186341309e-03 1.381440693541860715e-03 6.818878592378958391e-04 2.173780095362005829e-04
1.355000000000000000e+02 2.248588108908045925e-03 1.183884087487817186e-03 8.155295702960523030e-04 2.271307997635508245e-04
1.360000000000000000e+02 3.175806092449154870e-03 1.389715015105721062e-03 7.945868600998409704e-04 2.267107557890510024e-04
1.365000000000000000e+02 2.838599039206150289e-03 1.088862713577595353e-03 6.844335269079689955e-04 2.145548302208397410e-04
1.370000000000000000e+02 2.606668897340642683e-03 1.009124995822393428e-03 6.911988199160356379e-04 2.049781935107132329e-04
1.375000000000000000e+02 3.232280003166585185e-03 1.087417117737233836e-03 6.431501065493199247e-04 1.936402409473172699e-04
1.380000000000000000e+02 3.393809885477044787e-03 1.174116179769515251e-03 6.071370947766164573e-04 1.980029750261291907e-04
1.385000000000000000e+02 3.725256919312288327e-03 1.220492360803971874e-03 6.424834389166747149e-04 1.808857545576234558e-04
1.390000000000000000e+02 3.780844103994555373e-03 1.039671008335336152e-03 6.392629940228178667e-04 1.982632677488531815e-04
1.395000000000000000e+02 4.162800646319564195e-03 1.137560228513690959e-03 4.547115654017613840e-04 1.748127192372832760e-04
1.400000000000000000e+02 3.466375917630974517e-03 9.645904655845384578e-04 4.781766928838326902e-04 1.772654999162882070e-04
1.405000000000000000e+02 3.182353014608924058e-03 1.035342024280562229e-03 5.003297355538695356e-04 1.880142930328173776e-04
1.410000000000000000e+02 3.732126216099117006e-03 1.043617890037812270e-03 5.972413005378438347e-04 2.097631586748154107e-04
1.415000000000000000e+02 2.993108519828893005e-03 1.413007809777274077e-03 5.775221164666722619e-04 1.757821174978005298e-04
1.420000000000000000e+02 3.074638901997284353e-03 1.484023993753730026e-03 7.041506342759937731e-04 1.766116035330400527e-04
1.425000000000000000e+02 2.450505051158242964e-03 1.779569680808384437e-03 6.872590581716726257e-04 1.660459353837391604e-04
1.430000000000000000e+02 2.078920599017614751e-03 1.665132130438714674e-03 7.794221808542269861e-04 1.825058327612506250e-04
1.435000000000000000e+02 1.807677487097456275e-03 1.956918718399243938e-03 8.312394320629778446e-04 1.779421196998741427e-04
1.440000000000000000e+02 2.024279165829108180e-03 1.564442513355290224e-03 9.222648490881798708e-04 1.856476207876184064e-04
